#,Region,Region,المنطقة,المنطقة,City,المدينة,Remote/Main,SID,Old Name,New Name,External Code,Anydesk ID,English Display Name - New,Arabic Display Name - New,latitude,longitude,Google Maps Link,Glass Room,Location Owner,SIM SN,Retail / LM,Short Address,Buliding NO.,Street Name,Street Name Arabic,District Eng,District Arabic,Zip code,Additional No.,Address,Main Modules,Adder Modules,Working Hours,Order #,Installed
26,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1029,,225901,20334,1276313182,Al Sinaiyah Parcel Station - Riyadh - SPL,محطة طرود الصناعية - الرياض - سبل,24.645313,46.737934,https://goo.gl/maps/tDrWed7FwWy4NfAy9,YES,SPL Retail,8.99664181911766E+018,Retail,RENB2495,2495,Muhammad Ibn Muaeqil Street,طريق محمد بن معيقل,,,12843,6639,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
27,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1030,,225902,223112,1430704465,Al Woroud Parcel Station - Riyadh - SPL,محطة طرود الورود - الرياض - سبل,24.734289,46.680506,https://maps.app.goo.gl/jPRALwF7aNChfeVs6,No,SPL Retail,8.99664181911766E+018,Retail,RHWA3337,3337,King Abdullah Ibn Abdulaziz Saud Branch,طريق الملك عبدالله الفرعي,Al Woroud Dist.,حي الورود,12254,8292,"3337 King Abdullah Ibn Abdulaziz Saud Branch, Al Woroud Dist., Riyadh, 12254 - 8292",1,4,24 Hours,Old SPL Machines,Completed
28,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1031,,225903,-,1512116037,Al Rayan Parcel Station - Riyadh - Al Dawaa,محطة طرود الريان - الرياض - الدواء,24.699946,46.772092,https://goo.gl/maps/A5ozZKfhA9TupqqH6,NO,Al Dawaa,8.99664181911766E+018,LM,RQRA6595,6595,Eastern Ring Branch Street,طريق الدائري الشرقي الفرعي,,,14213,3096,Address Incomplete,1,4,,Old SPL Machines,Completed
29,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1033,,225905,-,1195694185,Qurtobah Parcel Station - Riyadh - Al Nakhla Residential Resort,محطة طرود قرطبة - الرياض - مجمع النخلة السكني,24.809623,46.733735,https://goo.gl/maps/4sZUB3QErjYfaEbF7,YES,Alnakhla Resident,8.99664181911766E+018,LM,RUQB7892,7892,Al Sayouf Street,,,,13244,3936,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
30,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1034,,225906,-,1282702121,Digital City Parcel Station - Riyadh - Digital City,محطة طرود المدينة الرقمية - الرياض - المدينة الرقمية,24.740153,46.639317,https://goo.gl/maps/L9hUYKUTAfv8W7VWA,YES,Digital City,8.99664181911766E+018,LM,RGNA6534,6534,Al Thaghr Street,طريق الثغر,,,12382,4208,Address Incomplete,1,4,,Old SPL Machines,Completed
31,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1035,,225907,-,693932913,Ar Rimayah Parcel Station - Riyadh - King Saud Bin Abdulaziz University,محطة طرود الرماية - الرياض - جامعة الملك سعود للعلوم الصحية,24.754538,46.852709,https://goo.gl/maps/CVAXfwvVkQx71L5E7,NO,KSU-Health Sciences,8.99664181911766E+018,LM,RSRB7555,7555,Prince Muteb Ibn Abdullah Ibn Abdulaziz Street,طريق الأمير متعب بن عبدالله بن عبد العزيز,,,14611,3067,Address Incomplete,1,4,,Old SPL Machines,Completed
32,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1036,,225908,-,1889640953,Al Sulaimaniyah Parcel Station - Riyadh - SPL,محطة طرود السليمانية - الرياض - سبل,24.707988,46.704609,https://goo.gl/maps/RBfmYBaUvyecHSvN8,YES,SPL LM,8.99664181911766E+018,LM,RHSA7289,7289,Ibn Al Rabie Street,طريق ابن الربيع,,,12243,4984,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
33,Central,,الوسطى,,Dariaa,الدرعية,Remote,PSDR1037,,225909,23200,1986301583,Al Faisaliyah Parcel Station - Dariaa - SPL,محطة طرود الفيصلية - الدرعية - سبل ,24.7452,46.573478,https://goo.gl/maps/BqCixKsYZ6pgmh4y5,YES,SPL Retail,8.99664181911766E+018,Retail,RDFA8257,8257,Al Faisaliyah 50 Street,طريق الفيصلية 50,,,13712,3113,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
34,Central,,الوسطى,,Al Kharj,الخرج,Remote,PSKA1038,221031,225910,20500,436803983,Al Wurud Parcel Station - Al Kharj - SPL,محطة طرود الورود - الخرج - سبل,24.165499,47.297639,https://goo.gl/maps/WRsgpCDm8nMyeap5A,YES,SPL Retail,8.99664181911766E+018,Retail,OKSA8455,8455,Ibn Badran Street,طريق ابن بدران,,,16278,2273,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
35,Central,,الوسطى,,Shaqra,شقراء,Remote,PSSQ1039,,225911,20600,1651901263,Al Washm Parcel Station - Shaqra - SPL,محطة طرود الوشم - شقراء - سبل,25.251834,45.258492,https://goo.gl/maps/z9ABMVfcgs62jY8m9,YES,SPL Retail,8.99664181911766E+018,Retail,LSSA8155,8155,Al Nakheel Street,طريق النخيل,,,15573,2346,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
36,Central,,الوسطى,,Dwadmi,الدوادمي,Remote,PSDW1040,,225912,20700,1202848539,Al Nahdah Parcel Station - Dwadmi - SPL,محطة طرود النهضة - الدوادمي - سبل,24.519358,44.416957,https://goo.gl/maps/tA9E7bCN4U4Sg3p1A,YES,SPL Retail,8.99664181911766E+018,Retail,LDMB6891,6891, Hakeem Ibn Hazam Street,طريق حكيم بن حزام,,,17452,4250,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
37,Eastern,,الشرقية,,Dammam,الدمام,Main,PSDM1041,,225913,46560,1483197271,Prince Muhammed Ibn Saud Parcel Station - Dammam - SPL,محطة طرود حي الأمير محمد بن سعود - الدمام - سبل ,26.435904,50.107937,https://goo.gl/maps/Xoc47Qp9Wsn1c2sp6,YES,SPL Retail,8.99664181911766E+018,Retail,EDJA7843,7843,9Th Street,طريق التاسع,,,32241,4621,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
38,Eastern,,الشرقية,,Dammam,الدمام,Main,PSDM1042,,225997,-,1836201133,Az Zuhur Parcel Station - Dammam - Al Dawaa,محطة طرود الزهور - الدمام - الدواء,26.458636,50.083343,https://maps.app.goo.gl/Zv2qRc55AZU2Yna19,NO,Al Dawaa,8.99664181911766E+018,LM,EMDA4195,4195,Al Khalij Rd,طريق الخليج,Az Zuhur Dist.,,32423,7943,"4195 Al Khalij Rd, Az Zuhur Dist., Dammam, 32423 - 7943",1,4,,Old SPL Machines,Completed
39,Eastern,,الشرقية,,Dammam,الدمام,Main,PSDM1043,,225914,40650,1108033294,Al Itisalat Parcel Station - Dammam - SPL,محطة طرود حي اللإتصالات - الدمام - سبل ,26.407269,50.082624,https://goo.gl/maps/NDvg9NUG1krgDxjC6,YES,SPL Retail,8.99664181911766E+018,Retail,EDMC3510,3510,Eighteenth Street,طريق الثامن عشر,,,32257,7827,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
40,Eastern,,الشرقية,,Khobar,الخبر,Main,PSKH1044,,225915,40900,1051303648,Al Khubar Al Janubiyah Parcel Station 1 - Khobar - SPL,محطة طرود الخبر الجنوبية 1 - الخبر - سبل,26.280833,50.206448,https://goo.gl/maps/iFqW42AfsWmWfzJH9,YES,SPL Retail,8.99664181911766E+018,Retail,EEDB5089,5089,Khadem Al Haramain Al Sharefeen Street,طريق خادم الحرمين الشريفين,,,34621,8429,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
41,Eastern,,الشرقية,,Khobar,الخبر,Main,PSKH1045,,225916,40900,1146181482,Al Khubar Al Janubiyah Parcel Station 2 - Khobar - SPL,محطة طرود الخبر الجنوبية 2 - الخبر - سبل,26.280799,50.206565,https://goo.gl/maps/iFqW42AfsWmWfzJH9,YES,SPL Retail,8.99664181911766E+018,Retail,EEDB5089,5089,Khadem Al Haramain Al Sharefeen Street,طريق خادم الحرمين الشريفين,,,34621,8429,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
